username,total_commits,total_additions,total_deletions,total_net_lines,repo_count,avg_additions_per_repo,avg_commits_per_repo,lines_per_commit
vlad-ignatov,85,56489388,38625642,17863746,5,11297878.0,17.0,210161.7
GinoCanessa,603,42396873,41005526,1391347,4,10599218.0,150.8,2307.4
grahamegrieve,2086,32851298,20474780,12376518,8,4106412.0,260.8,5933.1
milkshakeuk,99,11551176,5194017,6357159,2,5775588.0,49.5,64213.7
barhodes,102,9471419,7254578,2216841,1,9471419.0,102.0,21733.7
Ahryman40k,72,6999342,4639358,2359984,1,6999342.0,72.0,32777.6
pviotti,40,4531335,4471748,59587,1,4531335.0,40.0,1489.7
rgeimer,138,4237666,3658438,579228,1,4237666.0,138.0,4197.3
pikovach,36,1774934,923494,851440,1,1774934.0,36.0,23651.1
jarimayenburg,5,1557431,28,1557403,1,1557431.0,5.0,311480.6
imdrt,15,1491326,1137456,353870,2,745663.0,7.5,23591.3
keithboone,99,1478319,1426805,51514,1,1478319.0,99.0,520.3
itsLeonB,210,1387441,1154269,233172,1,1387441.0,210.0,1110.3
wmrutten,548,1228681,184018,1044663,2,614340.0,274.0,1906.3
mehak25,78,1192582,1021459,171123,1,1192582.0,78.0,2193.9
Jasopaum,210,1163828,1162658,1170,2,581914.0,105.0,5.6
zeevo,68,1104690,972387,132303,2,552345.0,34.0,1945.6
chrisby,145,969890,966567,3323,1,969890.0,145.0,22.9
p2-apple,13,815749,67492,748257,1,815749.0,13.0,57558.2
jingtang10,740,738103,379430,358673,3,246034.0,246.7,484.7
erayhanoglu,161,652007,295394,356613,1,652007.0,161.0,2215.0
ycq091044,27,643430,320179,323251,2,321715.0,13.5,11972.3
regloeb,56,643212,29066,614146,1,643212.0,56.0,10966.9
Mehdi-BOUYAHIA,738,618746,593921,24825,1,618746.0,738.0,33.6
vmariot,655,604758,630584,-25826,1,604758.0,655.0,-39.4
benknoll-umn,283,558515,186072,372443,1,558515.0,283.0,1316.1
chevalleyc,326,526111,26865,499246,1,526111.0,326.0,1531.4
costateixeira,130,521328,72612,448716,1,521328.0,130.0,3451.7
p2,246,521152,449339,71813,5,104230.0,49.2,291.9
dbojicic,359,458410,63710,394700,2,229205.0,179.5,1099.4
dib0,24,426311,422444,3867,2,213156.0,12.0,161.1
srcansiz,1499,415119,368299,46820,1,415119.0,1499.0,31.2
kennethmyhra,897,382614,460333,-77719,2,191307.0,448.5,-86.6
mgunnerud,177,366305,83322,282983,2,183152.0,88.5,1598.8
ellykits,374,362025,2152429,-1790404,2,181012.0,187.0,-4787.2
jmandel,56,334358,178515,155843,13,25720.0,4.3,2782.9
tznind,68,312994,294630,18364,2,156497.0,34.0,270.1
isuruh15,50,297601,246129,51472,3,99200.0,16.7,1029.4
mharthoorn,115,291654,103815,187839,4,72914.0,28.8,1633.4
cmoesel,99,263041,96264,166777,13,20234.0,7.6,1684.6
ThishaniLucas,78,220990,6473,214517,3,73663.0,26.0,2750.2
awatson1978,2972,219221,206858,12363,5,43844.0,594.4,4.2
brianpos,383,218953,88272,130681,3,72984.0,127.7,341.2
GeirLoken,218,212562,62050,150512,2,106281.0,109.0,690.4
ngfreiter,198,211932,991454,-779522,1,211932.0,198.0,-3937.0
mandorzqy,19,209932,97649,112283,1,209932.0,19.0,5909.6
chandrashekar-s,42,205146,164515,40631,1,205146.0,42.0,967.4
ndegwamartin,236,180760,139753,41007,1,180760.0,236.0,173.8
srgothi92,31,176196,166885,9311,1,176196.0,31.0,300.4
cyanheads,78,164108,41015,123093,1,164108.0,78.0,1578.1
ManelleG,459,163700,281137,-117437,1,163700.0,459.0,-255.9
AlyssaWang,185,157482,135243,22239,1,157482.0,185.0,120.2
neildsouth,110,148993,91051,57942,1,148993.0,110.0,526.7
Rkareko,139,147172,116874,30298,1,147172.0,139.0,218.0
LaRiffle,39,144315,148422,-4107,1,144315.0,39.0,-105.3
SvenSommer,57,140614,106625,33989,1,140614.0,57.0,596.3
Jammjammjamm,268,135599,60824,74775,3,45200.0,89.3,279.0
tiloc,72,131905,138395,-6490,3,43968.0,24.0,-90.1
rhausam,138,131807,130273,1534,4,32952.0,34.5,11.1
hungnlp,2,127708,3,127705,1,127708.0,2.0,63852.5
aarondglover,12,121733,112943,8790,1,121733.0,12.0,732.5
wetret,431,111151,137845,-26694,1,111151.0,431.0,-61.9
SaxxonPike,251,103725,74436,29289,1,103725.0,251.0,116.7
stefanspiska,308,103658,567868,-464210,2,51829.0,154.0,-1507.2
mvesin,1709,101904,91296,10608,1,101904.0,1709.0,6.2
arscan,271,101035,48645,52390,7,14434.0,38.7,193.3
teetone,1118,98574,49315,49259,1,98574.0,1118.0,44.1
mosheraboh,142,97950,31186,66764,1,97950.0,142.0,470.2
hsolbrig,25,91426,47507,43919,1,91426.0,25.0,1756.8
dustinburson,70,88240,52860,35380,1,88240.0,70.0,505.4
jenniferjiangkells,36,80366,42138,38228,1,80366.0,36.0,1061.9
gasperr,35,77200,5942,71258,1,77200.0,35.0,2035.9
timgetz,63,75853,31112,44741,1,75853.0,63.0,710.2
dt-r,474,74464,31519,42945,1,74464.0,474.0,90.6
fdefalco,12,71181,105661,-34480,4,17795.0,3.0,-2873.3
alistairewj,400,70194,28213,41981,5,14039.0,80.0,105.0
Jesperpaulsen,90,69128,56906,12222,2,34564.0,45.0,135.8
yhzhu99,156,62466,51788,10678,4,15616.0,39.0,68.4
hansenms,50,60978,42620,18358,3,20326.0,16.7,367.2
ghira,8,59794,18,59776,1,59794.0,8.0,7472.0
arianamihailescu,237,56632,29327,27305,1,56632.0,237.0,115.2
briangow,110,52718,33750,18968,2,26359.0,55.0,172.4
drdavec,3,50035,23764,26271,2,25018.0,1.5,8757.0
code-for-papers,617,49973,82250,-32277,1,49973.0,617.0,-52.3
mint-thompson,90,49651,25207,24444,3,16550.0,30.0,271.6
akurungadam,236,48009,28501,19508,1,48009.0,236.0,82.7
ant0nsc,108,46192,24393,21799,2,23096.0,54.0,201.8
yfyfang,20,45027,8831,36196,1,45027.0,20.0,1809.8
Rohan-cod,41,44447,3873,40574,2,22224.0,20.5,989.6
vsocrates,191,43064,20575,22489,1,43064.0,191.0,117.7
LuChang-CS,5,43037,13,43024,1,43037.0,5.0,8604.8
Xiaoyu-SZ,67,42169,86301,-44132,1,42169.0,67.0,-658.7
ayselafsar,78,40843,4345,36498,1,40843.0,78.0,467.9
varung-31,59,40842,11658,29184,1,40842.0,59.0,494.6
AnjanaSenanayake,3,40022,11140,28882,1,40022.0,3.0,9627.3
kcadette,31,38347,37793,554,1,38347.0,31.0,17.9
diehlbw,34,37536,19121,18415,1,37536.0,34.0,541.6
ir4y,58,35696,6266,29430,5,7139.0,11.6,507.4
corneliouzbett,125,35638,10548,25090,2,17819.0,62.5,200.7
ruchamahabal,230,33725,26040,7685,1,33725.0,230.0,33.4
JohnMoehrke,36,32263,50810,-18547,1,32263.0,36.0,-515.2
t-young31,37,31587,974,30613,1,31587.0,37.0,827.4
santosh-pingle,172,30849,9041,21808,1,30849.0,172.0,126.8
percyliang,314,30318,20725,9593,1,30318.0,314.0,30.6
Semalexa,54,30297,7708,22589,1,30297.0,54.0,418.3
abdullah-git1,34,28738,97,28641,1,28738.0,34.0,842.4
chrisknoll,61,28007,11032,16975,1,28007.0,61.0,278.3
Miking98,119,27769,19213,8556,2,13884.0,59.5,71.9
etobella,394,27172,13563,13609,1,27172.0,394.0,34.5
vvcb,15,26857,22699,4158,1,26857.0,15.0,277.2
tmolumby,44,26260,14767,11493,1,26260.0,44.0,261.2
AndrewBird81,1,24550,21,24529,1,24550.0,1.0,24529.0
dermatologist,75,24299,22387,1912,5,4860.0,15.0,25.5
dmitryashutov,19,23528,23334,194,1,23528.0,19.0,10.2
rolandgroen,51,23523,11978,11545,1,23523.0,51.0,226.4
MoreiraP12,27,23006,2146,20860,1,23006.0,27.0,772.6
niquola,40,22854,19526,3328,9,2539.0,4.4,83.2
Adibvafa,141,22415,22951,-536,1,22415.0,141.0,-3.8
chanskw,147,22216,4147,18069,1,22216.0,147.0,122.9
prohp,91,22033,21850,183,1,22033.0,91.0,2.0
SagiPolaczek,42,22019,12724,9295,1,22019.0,42.0,221.3
gbowlin,29,21813,15009,6804,1,21813.0,29.0,234.6
carvantes,42,20871,18196,2675,5,4174.0,8.4,63.7
ufocoder,111,20504,9569,10935,1,20504.0,111.0,98.5
mberlin-arcweb,56,20491,2789,17702,1,20491.0,56.0,316.1
MahmoodEtedadi,27,20473,2074,18399,1,20473.0,27.0,681.4
chiyuan1126,118,20227,478,19749,1,20227.0,118.0,167.4
rbrush,51,20076,14440,5636,5,4015.0,10.2,110.5
yanchao0222,23,19902,37,19865,1,19902.0,23.0,863.7
clairblacketer,50,19687,17839,1848,4,4922.0,12.5,37.0
chrisribe,32,17693,17566,127,1,17693.0,32.0,4.0
jas88,71,17554,17320,234,2,8777.0,35.5,3.3
PSchmiedmayer,71,16999,9468,7531,5,3400.0,14.2,106.1
nickgeorge,56,16802,10918,5884,2,8401.0,28.0,105.1
sliver007,31,16111,9147,6964,3,5370.0,10.3,224.6
chanshing,375,15827,7297,8530,1,15827.0,375.0,22.7
Fieldry,197,14917,5442,9475,1,14917.0,197.0,48.1
pu-re,44,14890,2636,12254,1,14890.0,44.0,278.5
rishi-salunkhe-mettle,161,14820,5573,9247,1,14820.0,161.0,57.4
narupley,5,14619,49,14570,3,4873.0,1.7,2914.0
SameerDoshi,38,14543,1420,13123,2,7272.0,19.0,345.3
bvdh,171,14429,12127,2302,2,7214.0,85.5,13.5
mizzioisf,54,14280,12363,1917,1,14280.0,54.0,35.5
mkizesov,103,14163,66203,-52040,1,14163.0,103.0,-505.2
aychtang,57,13810,9819,3991,1,13810.0,57.0,70.0
StephThaoOng,77,13570,11227,2343,1,13570.0,77.0,30.4
Imipenem,156,13377,8228,5149,1,13377.0,156.0,33.0
yahskapar,39,12218,6430,5788,2,6109.0,19.5,148.4
alimoezzi,8,11025,118,10907,1,11025.0,8.0,1363.4
xliucs,55,10736,5654,5082,2,5368.0,27.5,92.4
mxhm,5,10692,22,10670,1,10692.0,5.0,2134.0
Kamesh-T,1,9436,0,9436,1,9436.0,1.0,9436.0
joiskash,195,9348,3935,5413,1,9348.0,195.0,27.8
emmanurse,48,8594,9037,-443,1,8594.0,48.0,-9.2
anovikov-el,138,8547,4336,4211,1,8547.0,138.0,30.5
asulis,17,8520,643,7877,1,8520.0,17.0,463.4
robeastwood-agency,184,8111,4953,3158,1,8111.0,184.0,17.2
yeweidaniel,24,8069,559,7510,1,8069.0,24.0,312.9
kyegomez,11,8010,6599,1411,1,8010.0,11.0,128.3
jash-mettles,111,7810,3292,4518,1,7810.0,111.0,40.7
Snagnar,133,7437,6618,819,1,7437.0,133.0,6.2
FBegiello,6,7422,8,7414,1,7422.0,6.0,1235.7
andhines,96,7298,2557,4741,1,7298.0,96.0,49.4
Johnsd11,37,7246,970,6276,1,7246.0,37.0,169.6
oyisre,33,7220,4328,2892,1,7220.0,33.0,87.6
brandonpollett,11,7133,1473,5660,1,7133.0,11.0,514.5
FlixCoder,7,7031,2712,4319,1,7031.0,7.0,617.0
rlindstrm,201,6914,4778,2136,1,6914.0,201.0,10.6
cylien,8,6909,23,6886,1,6909.0,8.0,860.8
pjirsa,69,6792,2377,4415,2,3396.0,34.5,64.0
akarimisetti,21,6463,3639,2824,1,6463.0,21.0,134.5
saulakravitz,10,6349,2385,3964,2,3174.0,5.0,396.4
jafeltra,132,6180,3993,2187,5,1236.0,26.4,16.6
daliboz,3,5988,2,5986,2,2994.0,1.5,1995.3
julianxcarter,104,5898,1813,4085,1,5898.0,104.0,39.3
braytonstafford,8,5893,4220,1673,1,5893.0,8.0,209.1
bugface,11,5674,1285,4389,1,5674.0,11.0,399.0
benjaminflessner,194,5493,2010,3483,1,5493.0,194.0,18.0
schuemie,24,5465,1801,3664,1,5465.0,24.0,152.7
Evana13G,70,5249,4385,864,1,5249.0,70.0,12.3
JoeBatt1989,45,5092,1451,3641,1,5092.0,45.0,80.9
nguyen102,56,4791,932,3859,5,958.0,11.2,68.9
pre-commit-ci[bot],131,4768,5353,-585,2,2384.0,65.5,-4.5
irisdp-guest-access,47,4706,3147,1559,1,4706.0,47.0,33.2
AI-Hub-Admin,22,4648,62,4586,1,4648.0,22.0,208.5
jeffy-grh,28,4384,813,3571,1,4384.0,28.0,127.5
casiodbx,9,4278,2966,1312,1,4278.0,9.0,145.8
harshalmore31,12,4044,1231,2813,1,4044.0,12.0,234.4
rahul-imaging,45,4003,4002,1,2,2002.0,22.5,0.0
joseph-wortmann,11,3960,548,3412,1,3960.0,11.0,310.2
nirzaf,43,3911,1143,2768,1,3911.0,43.0,64.4
florian6973,21,3866,160,3706,1,3866.0,21.0,176.5
kpshek,175,3823,3387,436,3,1274.0,58.3,2.5
bcebere,12,3683,51495,-47812,2,1842.0,6.0,-3984.3
zoedalley,147,3663,3096,567,1,3663.0,147.0,3.9
weimin17,7,3587,12,3575,1,3587.0,7.0,510.7
namalu,10,3234,115,3119,2,1617.0,5.0,311.9
cmiles74,63,3159,1999,1160,1,3159.0,63.0,18.4
wangziyu99,3,3143,5,3138,1,3143.0,3.0,1046.0
rthapa84,5,3045,136,2909,1,3045.0,5.0,581.8
czajkub,11,2999,982,2017,1,2999.0,11.0,183.4
rectalogic,17,2920,1478,1442,2,1460.0,8.5,84.8
kolkheang,4,2887,205776,-202889,2,1444.0,2.0,-50722.2
mmcdermott,58,2863,1797,1066,2,1432.0,29.0,18.4
bauer-andreas,17,2837,2746,91,2,1418.0,8.5,5.4
v1xerunt,7,2802,19,2783,4,700.0,1.8,397.6
slaverman,31,2749,572,2177,1,2749.0,31.0,70.2
pliang279,165,2637,1592,1045,1,2637.0,165.0,6.3
ji-youn-kim,14,2449,200,2249,2,1224.0,7.0,160.6
rkorytkowski,977,2348,955,1393,2,1174.0,488.5,1.4
vipinsanthosh,28,2344,1884,460,1,2344.0,28.0,16.4
asiyahmad,96,2268,354,1914,1,2268.0,96.0,19.9
RupprechJo,31,2205,642,1563,1,2205.0,31.0,50.4
atuonufure,122,2198,35049,-32851,2,1099.0,61.0,-269.3
dpodvyaznikov,62,2182,2347,-165,1,2182.0,62.0,-2.7
baiju-grh,7,1855,395,1460,1,1855.0,7.0,208.6
DiCanio,8,1798,205,1593,1,1798.0,8.0,199.1
gotdan,96,1752,1346,406,4,438.0,24.0,4.2
dgrinberg,5,1651,42,1609,1,1651.0,5.0,321.8
rajna-fani,9,1569,3228,-1659,1,1569.0,9.0,-184.3
vadi2,9,1531,773,758,3,510.0,3.0,84.2
shalmalijoshi,1,1511,0,1511,1,1511.0,1.0,1511.0
EricOnFHIR,70,1511,3137,-1626,1,1511.0,70.0,-23.2
EthanSteinberg,51,1406,803,603,3,469.0,17.0,11.8
gdelfiol,153,1402,2721,-1319,1,1402.0,153.0,-8.6
MadineniGunavardhan,33,1330,1122,208,1,1330.0,33.0,6.3
alexzautke,27,1325,225,1100,3,442.0,9.0,40.7
dkayiwa,2110,1279,211,1068,2,640.0,1055.0,0.5
zhizhid,4,1267,0,1267,1,1267.0,4.0,316.8
ssvegaraju,16,1207,107,1100,2,604.0,8.0,68.8
cary-apple,1,1118,3,1115,1,1118.0,1.0,1115.0
cskyan,2,1042,3,1039,1,1042.0,2.0,519.5
mujiyantosvc,19,989,346,643,1,989.0,19.0,33.8
x-aaron-moore,5,936,402,534,1,936.0,5.0,106.8
ablack3,36,930,703,227,1,930.0,36.0,6.3
gmertes,6,930,31,899,1,930.0,6.0,149.8
monk1337,16,889,315,574,1,889.0,16.0,35.9
vishnuravi,7,888,217,671,3,296.0,2.3,95.9
rockphotog,109,837,471,366,1,837.0,109.0,3.4
ryandecosmo,3,836,827,9,1,836.0,3.0,3.0
omarhoblos,27,753,540,213,2,376.0,13.5,7.9
amyschoen,3,730,108,622,1,730.0,3.0,207.3
marcovisserFurore,34,689,230,459,4,172.0,8.5,13.5
schwzr,17,666,154,512,1,666.0,17.0,30.1
tomlincr,1,659,0,659,1,659.0,1.0,659.0
jdjkelly,3,652,2,650,4,163.0,0.8,216.7
plisitza,26,640,102,538,1,640.0,26.0,20.7
ixaxaar,4,614,149,465,1,614.0,4.0,116.2
MarionBla,6,613,1060,-447,1,613.0,6.0,-74.5
eugenekogan-spb,20,598,45,553,1,598.0,20.0,27.6
kghoreshi,9,592,192,400,1,592.0,9.0,44.4
pr0mila,27,581,97,484,3,194.0,9.0,17.9
Vortex-21,4,565,18,547,1,565.0,4.0,136.8
Luid101,5,560,36,524,1,560.0,5.0,104.8
oaassv,133,555,278,277,1,555.0,133.0,2.1
ruscoder,7,551,198,353,3,184.0,2.3,50.4
walcovanloon,3,519,73,446,1,519.0,3.0,148.7
hackmd-deploy,2,470,1,469,2,235.0,1.0,234.5
yudistirasd,20,465,246,219,1,465.0,20.0,11.0
leandromineti,28,464,85,379,1,464.0,28.0,13.5
ironbridgecorp,30,462,52,410,1,462.0,30.0,13.7
isaacmg,100,439,96,343,1,439.0,100.0,3.4
robertruppnj,11,431,14,417,1,431.0,11.0,37.9
piotrszul,26,429,136,293,2,214.0,13.0,11.3
IoBT-VISTEC,30,402,109,293,1,402.0,30.0,9.8
i-am-dan,20,393,239,154,1,393.0,20.0,7.7
dpshelio,27,361,121,240,1,361.0,27.0,8.9
srosenda,8,343,52,291,1,343.0,8.0,36.4
smallsr,15,336,55,281,1,336.0,15.0,18.7
johngrimes,17,307,28,279,3,102.0,5.7,16.4
maheshika,3,296,0,296,1,296.0,3.0,98.7
bentoo42,7,295,4,291,1,295.0,7.0,41.6
alecdorenkamp,3,283,55,228,1,283.0,3.0,76.0
scottfleming,8,283,6,277,1,283.0,8.0,34.6
dataground,5,267,24,243,1,267.0,5.0,48.6
abgeorge7,4,259,15,244,1,259.0,4.0,61.0
microsoftopensource,10,258,1,257,3,86.0,3.3,25.7
mauritzmauritz,2,224,1,223,1,224.0,2.0,111.5
modgeosys,2,209,0,209,1,209.0,2.0,104.5
mik-ohdsi,6,199,3,196,1,199.0,6.0,32.7
dnstone,3,181,9,172,2,90.0,1.5,57.3
gpfinley,3,164,61,103,1,164.0,3.0,34.3
prajwal967,1,159,0,159,1,159.0,1.0,159.0
SYXieee,1,156,0,156,1,156.0,1.0,156.0
dolphin-dev,14,156,24,132,1,156.0,14.0,9.4
nav-mike,8,152,11,141,1,152.0,8.0,17.6
Macleykun,7,145,139,6,1,145.0,7.0,0.9
Rosnyni,5,143,131,12,1,143.0,5.0,2.4
MelaniePhilofsky,14,131,38,93,1,131.0,14.0,6.6
lukaskollmer,4,130,129,1,2,65.0,2.0,0.2
obadawi,17,122,32,90,1,122.0,17.0,5.3
mberryman,4,113,60,53,1,113.0,4.0,13.2
MohsinRazaKhanSipra,4,112,43,69,1,112.0,4.0,17.2
pushpak-pati,14,107,98,9,1,107.0,14.0,0.6
rvandewater,10,101,59,42,2,50.0,5.0,4.2
maelle,3,99,93,6,1,99.0,3.0,2.0
hl7-devops,28,98,123,-25,1,98.0,28.0,-0.9
yfpeng,9,93,11,82,1,93.0,9.0,9.1
jamesiri,6,93,1,92,1,93.0,6.0,15.3
igobypenn,2,86,104,-18,1,86.0,2.0,-9.0
feordin,13,81,81,0,1,81.0,13.0,0.0
DominikCywinski,8,76,25,51,2,38.0,4.0,6.4
robi56,6,76,5,71,1,76.0,6.0,11.8
SCdF,3,60,10,50,1,60.0,3.0,16.7
echosalik,4,59,26,33,1,59.0,4.0,8.2
juanlopezcode,10,55,71,-16,2,28.0,5.0,-1.6
madforce,6,52,27,25,1,52.0,6.0,4.2
brynrhodes,3,46,45,1,9,5.0,0.3,0.3
ericaVoss,7,39,2,37,2,20.0,3.5,5.3
sloria,6,38,21,17,1,38.0,6.0,2.8
kkuroma,6,30,26,4,1,30.0,6.0,0.7
JoeDRowan,6,27,4,23,2,14.0,3.0,3.8
llob,6,27,18,9,1,27.0,6.0,1.5
calclavia,3,24,1,23,1,24.0,3.0,7.7
stav09,4,23,17,6,1,23.0,4.0,1.5
edent,1,23,0,23,1,23.0,1.0,23.0
nels,5,21,21,0,1,21.0,5.0,0.0
levinalex-samedi,1,21,3,18,1,21.0,1.0,18.0
radamson,4,21,18,3,2,10.0,2.0,0.8
