Repository,Category,Subcat,Standard,Stars,Forks,Description,URL,License,Language,Top Contributors,Contributors,Created,Updated,Last Commit,Downloads,Topics
Project-MONAI/MONAI,Model Development,Modelling & Training,DICOM,6877,1266,AI Toolkit for Healthcare Imaging,https://github.com/Project-MONAI/MONAI,Apache License 2.0,Python,"wyli, Nic-Ma, KumoLiu",100,2019-10-11,2025-10-02,2025-10-01,0,"deep-learning, healthcare-imaging, medical-image-computing, medical-image-processing, monai"
openemr/openemr,Infrastructure,EHR,,3707,2514,The most popular open source electronic health records and medical practice management solution.,https://github.com/openemr/openemr,GNU General Public License v3.0,PHP,"bradymiller, sjpadgett, stephenwaite",100,2010-05-21,2025-10-03,2025-10-01,0,"ehr, emr, fhir, global-health, health"
OpenHealthForAll/open-health,Infrastructure,Data Platforms,,3696,398,"OpenHealth, AI Health Assistant | Powered by Your Data",https://github.com/OpenHealthForAll/open-health,GNU Affero General Public License v3.0,TypeScript,"GwonHyeok, pu-re, Macleykun",8,2025-01-23,2025-10-03,2025-03-17,0,"ai, healthcare"
MIT-LCP/mimic-code,Model Development,Dataset Processing,,2995,1626,MIMIC Code Repository: Code shared by the research community for the MIMIC family of databases,https://github.com/MIT-LCP/mimic-code,MIT License,Jupyter Notebook,"alistairewj, tompollard, a-chahin",100,2015-09-01,2025-10-02,2025-07-01,0,"critical-care, icu, mimic-iii, physionet"
synthetichealth/synthea,Model Development,Synthetic Data,FHIR,2759,775,Synthetic Patient Population Simulator,https://github.com/synthetichealth/synthea,Apache License 2.0,Java,"jawalonoski, dehall, eedrummer",77,2016-06-17,2025-10-03,2025-09-29,6351,"fhir, health-data, simulation, synthea, synthetic-data"
fastenhealth/fasten-onprem,Interoperability,Gateways & Connectors,FHIR,2441,147,"Fasten is an open-source, self-hosted, personal/family electronic medical record aggregator, designed to integrate with 100,000's of insurances/hospitals/clinics",https://github.com/fastenhealth/fasten-onprem,GNU General Public License v3.0,Go,"AnalogJ, alexszilagyi, packagr-io[bot]",28,2022-08-23,2025-10-02,2025-09-11,0,"electronic-health-record, electronic-medical-record, emr, healthcare, open-source"
hapifhir/hapi-fhir,Interoperability,Client SDKs,FHIR,2203,1405,🔥 HAPI FHIR - Java API for HL7 FHIR Clients and Servers,https://github.com/hapifhir/hapi-fhir,Apache License 2.0,Java,"jamesagnew, tadgh, fil512",100,2014-06-24,2025-10-03,2025-10-02,11762,"apps, fhir, hapi-fhir, healthcare, hl7"
medplum/medplum,App Development,Framework,FHIR,1922,589,Medplum is a healthcare platform that helps you quickly develop high-quality compliant applications.,https://github.com/medplum/medplum,Apache License 2.0,TypeScript,"codyebberson, mattwiller, ThatOneBro",100,2021-04-21,2025-10-02,2025-10-02,162,"ehr, electronic-health-record, fhir, fhir-server, graphql"
StanfordBDHG/HealthGPT,HAI engineering,Templates / Starters,FHIR,1896,180,Query your Apple Health data with natural language 💬 🩺,https://github.com/StanfordBDHG/HealthGPT,MIT License,Swift,"PSchmiedmayer, varunshenoy, vishnuravi",5,2023-04-17,2025-11-10,2025-09-26,0,"apple-health, healthkit, ios, openai, swift"
node-on-fhir/cookbook,App Development,Templates / Starters,FHIR,1670,245,"Cookbook for Node on FHIR and the clinical Meteor.js build pipeline.  Create FDA, HIPPA, and HL7 com...",https://github.com/node-on-fhir/cookbook,Unknown,Shell,"awatson1978, jkingok, brylie",34,2013-04-13,2025-08-19,2022-01-04,0,
