date,change,repo,owner_type,event_type
2019-10-18 18:34:33,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2019-11-01 12:56:43,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2019-11-17 11:15:10,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2019-11-28 03:18:51,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2019-11-28 03:40:46,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2019-11-28 05:52:46,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2019-11-28 07:07:38,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2019-11-28 14:52:26,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2019-11-29 03:22:19,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2019-11-29 12:08:00,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2019-12-03 14:11:31,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2020-01-13 08:42:19,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2020-01-13 10:04:27,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2020-01-13 10:43:45,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2020-01-13 10:51:03,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2020-01-14 18:52:14,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2020-01-15 14:14:48,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2020-01-23 00:40:06,1,Project-MONAI/MONAI,Research Lab,star_gained
2026-10-01 00:00:00,-1,Project-MONAI/MONAI,Research Lab,star_removed_inactive
2020-01-29 09:38:06,1,Project-MONAI/MONAI,Research Lab,star_gained
